uniprot,hmdb
P35221,HMDB0000736
P00533,HMDB0002815
P02751,HMDB0006731
P21860,HMDB0007989
P06239,HMDB0007991
P19022,HMDB0008057
P38936,HMDB0042996
Q15121,HMDB0044026
P60484,HMDB0042310
P57735,HMDB0044889
Q92878,HMDB0044088
Q06609,HMDB0005383
Q96T37,HMDB0042496
Q07955,HMDB0042203
P43405,HMDB0042734
Q16635,HMDB0000064
Q03135,HMDB0001473
O96017,HMDB0001076
P05121,HMDB0000112
,HMDB0000125
,HMDB0250763
,HMDB0000172
,HMDB0000186
,HMDB0000696
,HMDB0001406
,HMDB0303018
,HMDB0001511
,HMDB0000267
,HMDB0001548
,HMDB0000251
,HMDB0000235
,HMDB0000167
,HMDB0000925
,HMDB0030396
,HMDB0000883
,HMDB0013773
,HMDB0003405
,HMDB0000158